Codigo; Precio ;FECHA INICIO;FECHA FIN;CODIG LOCAL
119725; 9.62 ;25/03/2022;22/04/2022;DR4
221236; 35.08 ;25/03/2022;22/04/2022;DR4
157022; 16.27 ;25/03/2022;22/04/2022;DR4
510790; 79.46 ;25/03/2022;22/04/2022;DR4
136011; 0.97 ;25/03/2022;22/04/2022;DR4
528023; 4.38 ;25/03/2022;22/04/2022;DR4
559387; 8.17 ;25/03/2022;22/04/2022;DR4
559386; 14.34 ;25/03/2022;22/04/2022;DR4
525988; 2.99 ;25/03/2022;22/04/2022;DR4
578882; 36.86 ;25/03/2022;22/04/2022;DR4
103258; 47.54 ;25/03/2022;22/04/2022;DR4
106241; 38.74 ;25/03/2022;22/04/2022;DR4
138770; 32.91 ;25/03/2022;22/04/2022;DR4
137734; 27.21 ;25/03/2022;22/04/2022;DR4
139333; 7.70 ;25/03/2022;22/04/2022;DR4
139301; 7.47 ;25/03/2022;22/04/2022;DR4
135449; 2.87 ;25/03/2022;22/04/2022;DR4
512467; 1.25 ;25/03/2022;22/04/2022;DR4
553915; 1.18 ;25/03/2022;22/04/2022;DR4
553916; 2.92 ;25/03/2022;22/04/2022;DR4
158799; 5.25 ;25/03/2022;22/04/2022;DR4
163036; 3.16 ;25/03/2022;22/04/2022;DR4
160199; 4.13 ;25/03/2022;22/04/2022;DR4
158800; 13.65 ;25/03/2022;22/04/2022;DR4
159220; 10.00 ;25/03/2022;22/04/2022;DR4
158538; 5.74 ;25/03/2022;22/04/2022;DR4
140137; 1.91 ;25/03/2022;22/04/2022;DR4
138536; 1.28 ;25/03/2022;22/04/2022;DR4
138539; 1.94 ;25/03/2022;22/04/2022;DR4
140243; 1.94 ;25/03/2022;22/04/2022;DR4
571040; 9.28 ;25/03/2022;22/04/2022;DR4
552591; 3.68 ;25/03/2022;22/04/2022;DR4
141990; 6.54 ;25/03/2022;22/04/2022;DR4
512575; 4.12 ;25/03/2022;22/04/2022;DR4
140125; 2.78 ;25/03/2022;22/04/2022;DR4
138340; 6.72 ;25/03/2022;22/04/2022;DR4
138321; 2.54 ;25/03/2022;22/04/2022;DR4
511388; 2.47 ;25/03/2022;22/04/2022;DR4
136685; 6.49 ;25/03/2022;22/04/2022;DR4
136759; 12.90 ;25/03/2022;22/04/2022;DR4
138133; 8.40 ;25/03/2022;22/04/2022;DR4
136777; 42.55 ;25/03/2022;22/04/2022;DR4
136793; 7.45 ;25/03/2022;22/04/2022;DR4
139514; 17.70 ;25/03/2022;22/04/2022;DR4
136840; 9.57 ;25/03/2022;22/04/2022;DR4
526065; 1.77 ;25/03/2022;22/04/2022;DR4
510916; 7.37 ;25/03/2022;22/04/2022;DR4
553925; 2.49 ;25/03/2022;22/04/2022;DR4
139478; 2.27 ;25/03/2022;22/04/2022;DR4
574013; 0.35 ;25/03/2022;22/04/2022;DR4
137224; 2.55 ;25/03/2022;22/04/2022;DR4
124121; 44.41 ;25/03/2022;22/04/2022;DR4
136782; 3.18 ;25/03/2022;22/04/2022;DR4
136780; 15.65 ;25/03/2022;22/04/2022;DR4
175500; 10.84 ;25/03/2022;22/04/2022;DR4
115980; 1.79 ;25/03/2022;22/04/2022;DR4
116011; 5.45 ;25/03/2022;22/04/2022;DR4
167170; 6.67 ;25/03/2022;22/04/2022;DR4
533194; 4.98 ;25/03/2022;22/04/2022;DR4
512010; 19.48 ;25/03/2022;22/04/2022;DR4
533316; 10.39 ;25/03/2022;22/04/2022;DR4
533248; 10.98 ;25/03/2022;22/04/2022;DR4
118516; 31.45 ;25/03/2022;22/04/2022;DR4
553935; 1.59 ;25/03/2022;22/04/2022;DR4
513719; 4.42 ;25/03/2022;22/04/2022;DR4
